Model,Version,Input,Cached input,Output
gpt-4.1,gpt-4.1-2025-04-14,$2.00,$0.500,$8.00
gpt-4.1-2025-04-14,nan,$2.00,$0.500,$8.00
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,$0.40,$0.100,$1.60
gpt-4.1-mini-2025-04-14,nan,$0.40,$0.100,$1.60
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,$0.10,$0.025,$0.40
gpt-4.1-nano-2025-04-14,nan,$0.10,$0.025,$0.40
gpt-4.5-preview,gpt-4.5-preview-2025-02-27,$75.00,$37.500,$150.00
gpt-4.5-preview-2025-02-27,nan,$75.00,$37.500,$150.00
gpt-4o,gpt-4o-2024-08-06,$2.50,$1.250,$10.00
gpt-4o-2024-11-20,nan,$2.50,$1.250,$10.00
gpt-4o-2024-08-06,nan,$2.50,$1.250,$10.00
gpt-4o-2024-05-13,nan,$5.00,-,$15.00
gpt-4o-audio-preview,gpt-4o-audio-preview-2024-12-17,$2.50,-,$10.00
gpt-4o-audio-preview-2024-12-17,nan,$2.50,-,$10.00
gpt-4o-audio-preview-2024-10-01,nan,$2.50,-,$10.00
gpt-4o-realtime-preview,gpt-4o-realtime-preview-2024-12-17,$5.00,$2.500,$20.00
gpt-4o-realtime-preview-2024-12-17,nan,$5.00,$2.500,$20.00
gpt-4o-realtime-preview-2024-10-01,nan,$5.00,$2.500,$20.00
gpt-4o-mini,gpt-4o-mini-2024-07-18,$0.15,$0.075,$0.60
gpt-4o-mini-2024-07-18,nan,$0.15,$0.075,$0.60
gpt-4o-mini-audio-preview,gpt-4o-mini-audio-preview-2024-12-17,$0.15,-,$0.60
gpt-4o-mini-audio-preview-2024-12-17,nan,$0.15,-,$0.60
gpt-4o-mini-realtime-preview,gpt-4o-mini-realtime-preview-2024-12-17,$0.60,$0.300,$2.40
gpt-4o-mini-realtime-preview-2024-12-17,nan,$0.60,$0.300,$2.40
o1,o1-2024-12-17,$15.00,$7.500,$60.00
o1-2024-12-17,nan,$15.00,$7.500,$60.00
o1-preview-2024-09-12,nan,$15.00,$7.500,$60.00
o1-pro,o1-pro-2025-03-19,$150.00,-,$600.00
o1-pro-2025-03-19,nan,$150.00,-,$600.00
o3,o3-2025-04-16,$10.00,$2.500,$40.00
o3-2025-04-16,nan,$10.00,$2.500,$40.00
o4-mini,o4-mini-2025-04-16,$1.10,$0.275,$4.40
o4-mini-2025-04-16,nan,$1.10,$0.275,$4.40
o3-mini,o3-mini-2025-01-31,$1.10,$0.550,$4.40
o3-mini-2025-01-31,nan,$1.10,$0.550,$4.40
o1-mini,o1-mini-2024-09-12,$1.10,$0.550,$4.40
o1-mini-2024-09-12,nan,$1.10,$0.550,$4.40
gpt-4o-mini-search-preview,gpt-4o-mini-search-preview-2025-03-11,$0.15,-,$0.60
gpt-4o-mini-search-preview-2025-03-11,nan,$0.15,-,$0.60
gpt-4o-search-preview,gpt-4o-search-preview-2025-03-11,$2.50,-,$10.00
gpt-4o-search-preview-2025-03-11,nan,$2.50,-,$10.00
computer-use-preview,computer-use-preview-2025-03-11,$3.00,-,$12.00
computer-use-preview-2025-03-11,nan,$3.00,-,$12.00
gpt-image-1,gpt-image-1,$5.00,-,-
