Reaction	Metabolites	Stoichiometry
# Regeneration of the Sulfur donor SufS
# No sufE https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2832514/
# sufE only enhances https://doi.org/10.1146/annurev.biochem.74.082803.133518
# sufU replaces sufE in B. subtilis. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7510350/
SCYSDS1	SufSU_mod_pydx5p(1)	-1.0
SCYSDS1	cys__L_c	-1.0
SCYSDS1	SufSU_mod_pydx5p(1)_mod_SH(1)	1.0
SCYSDS1	ala__L_c	1.0

# Loading of iron and sulfur into SufBCD
S_transfer_to_SufBCD_mod_2Fe1S(1)	SufBCD_mod_2fe1s(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	SufSU_mod_pydx5p(1)_mod_SH(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	SufBCD_mod_2fe2s(1)	1.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	SufSU_mod_pydx5p(1)	1.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	h_c	4.0

S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1)	SufBCD_mod_2fe2s(1)_mod_2fe1s(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1)	SufSU_mod_pydx5p(1)_mod_SH(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1)	SufBCD_mod_2fe2s(2)	1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1)	SufSU_mod_pydx5p(1)	1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1)	h_c	4.0

S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2)	SufBCD_mod_2fe2s(1)_mod_fe2(2)	-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2)	SufSU_mod_pydx5p(1)_mod_SH(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2)	SufBCD_mod_2fe2s(1)_mod_2fe1s(1)	1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2)	SufSU_mod_pydx5p(1)	1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2)	h_c	4.0

S_transfer_to_SufBCD_mod_fe2(2)	SufBCD_mod_fe2(2)	-1.0
S_transfer_to_SufBCD_mod_fe2(2)	SufSU_mod_pydx5p(1)_mod_SH(1)	-1.0
S_transfer_to_SufBCD_mod_fe2(2)	SufBCD_mod_2fe1s(1)	1.0
