,lexicon_name,clean_name,category,representative_example,notes
0,Positiv_GI,positive_gi,sentiment,"happy, altruistic, amazement",
1,Negativ_GI,negative,sentiment,"sad, burden, helplessness",
2,Pstv_GI,positive_gi_2,sentiment,"calm, friend, rich",osgood 
3,Affil_GI,affiliation_gi,social,"charm, appeal, friendship",
4,Ngtv_GI,negative_gi_2,sentiment,"bitter, cruel, horrible",earlier version of Negativ
5,Hostile_GI,hostility_gi,power,"aggressor, endanger, terrorism",
6,Strong_GI,strength_gi,power,"abundance, charisma, love",
7,Power_GI,power_gi,power,"executive, impunity, god",
8,Weak_GI,weakness_gi,power,"abandonment, lone, hollow",
9,Submit_GI,submission_gi,power,"fear, prisioner, duty",
10,Active_GI,active_orientation_gi,grammatical,"act, change, race",
11,Passive_GI,passive_orientation_gi,grammatical,"acceptance, fail, sickness",
12,Pleasur_GI,pleasure_gi,emotion,"cheerful, glad, relish",
13,Pain_GI,pain_gi,emotion,"ache, melancholy, tension",
14,Feel_GI,feeling_gi,emotion,"apathy, unfeeling, shameful",
15,Arousal_GI,arousal_gi,emotion,"amaze, hate, suspicious",
16,Emot_GI,emotion_gi,emotion,"adore, calmness, pride",
17,Virtue_GI,virtue_gi,ethics_moral,"democracy, fair, independent",
18,Vice_GI,vice_gi,ethics_moral,"decadent, inferior, trouble",
19,Ovrst_GI,overstated_gi,emotional_expressiveness,"abundant, high, limitless",
20,Undrst_GI,understated_gi,emotional_expressiveness,"brief, no, selective",
21,Academ_GI,academic_gi,institution,"chemistry, graduation, museum",
22,Doctrin_GI,doctrine_gi,institution,"artistic, legislation, scholarship",
23,Econ_2_GI,economics_2_gi,institution,"capitalism, jobless, monopoly",
24,Exch_GI,exchange_gi,institution,"charitable, exchange, repay",
25,Econ_GI,economics_gi,institution,"agency, chairman, management",
26,Exprsv_GI,arts_sports_expression_gi,institution,"creative, jazz, runner",
27,Legal_GI,legal_matters_gi,institution,"authority, legislation, trial",
28,Milit_GI,military_matters_gi,institution,"army, colonel, surrender",
29,Polit_2_GI,politics_2_gi,institution,"alliance, congress, flag",
30,Polit_GI,politics_gi,institution,"asia, land, post",
31,Relig_GI,religion_gi,institution,"cathedral, evangelism, pope",
32,Role_GI,roles_gi,roles,"actor, composer, fan",
33,Coll_GI,human_collectivities_gi,roles,"congregate, humanity, public",
34,Work_GI,work_gi,roles,"bank, perfectionism, store",
35,Ritual_GI,non_work_social_rituals_gi,roles,"celebration, festivity, magic",
36,Socrel_GI,interpersonal_processes_gi,roles,"adultery, care, kill",
37,Race_GI,racial_ethnic_characteristics_gi,people_animals,"black, prejudice, segregation",
38,Kin_2_GI,kinship_gi,people_animals,"divorce, grandma, relative",
39,Male_GI,men_gi,people_animals,"clergyman, husband, masculine",
40,Female_GI,women_gi,people_animals,"bride, her, widow",
41,Nonadlt_GI,infants_adolescents_gi,people_animals,"child, newborn, young",
42,Hu_GI,humans_gi,people_animals,"aristocrat, democrat, idol",
43,Ani_GI,animals_gi,people_animals,"birds, fish, insect",
44,Place_GI,places_gi,places_locations_routes,"bank, cliff, ocean",
45,Social_GI,social_interaction_places_gi,places_locations_routes,"grave, market, prison",
46,Region_GI,region_gi,places_locations_routes,"city, interstate, tropical",
47,Route_GI,route_gi,places_locations_routes,"avenue, highway, trail",
48,Aquatic_GI,aquatic_gi,places_locations_routes,"bay, river, sea",
49,Land_GI,land_gi,places_locations_routes,"desert, beach, hillside",
50,Sky_GI,sky_gi,places_locations_routes,"aire, hurricane, snow",
51,Object_GI,object_gi,objects,"ammunition, disguise, fork",
52,Tool_GI,tool_gi,objects,"arrow, knife, phone",
53,Food_GI,food_gi,objects,"bacon, egg, onion",
54,Vehicle_GI,vehicle_gi,objects,"cadillac, missile, plane",
55,Bldgpt_GI,buildings_gi,objects,"cellar, floor, room",
56,Comnobj_GI,tools_of_communication_gi,objects,"flag, letter, page",
57,Natobj_GI,natural_objects_gi,objects,"calcium, dirt, rock",
58,Bodypt_GI,body_parts_gi,objects,"bone, facial, lung",
59,Comform_GI,form_format_media_gi,communicating,"agree, conflict, incentive",
60,Com_GI,communicate_exchange_gi,communicating,"bill, greet, saga",
61,Say_GI,say_tell_gi,communicating,"said, say, told",
62,Need_GI,need_intent_gi,motivation,"addiction, lust, motivation",
63,Goal_GI,end_states_gi,motivation,"aim, gain, object",
64,Try_GI,activities_to_reach_goal_gi,motivation,"address, follow, rival",
65,Means_GI,objects_acts_methods_attaining_goals,motivation,"budget, plan, road",
66,Persist_GI,persistance_gi,motivation,"always, endurance, steadiness",
67,Complet_GI,completion_gi,motivation,"accomplish, cure, succeed",
68,Fail_GI,failure_gi,motivation,"abandon, fail, nightmare",
69,Natrpro_GI,natural_processes_gi,process_change,"birth, fire, snow",
70,Begin_GI,change_process_gi,process_change,"emerge, onset, origin",
71,Vary_GI,change_gi,process_change,"alteration, happen, volatility",
72,Increas_GI,increase_gi,process_change,"absortion, append, supplement",
73,Decreas_GI,decrease_gi,process_change,"amputate, decay, reduce",
74,Finish_GI,finish_gi,process_change,"climax, gone, stop",
75,Stay_GI,stay_gi,movement,"anchor, congestion, park",
76,Rise_GI,rise_gi,movement,"ascend, climb, peak",
77,Exert_GI,exert_gi,movement,"act, fit, pressure",
78,Fetch_GI,fetch_gi,movement,"confiscate, grip, round",
79,Travel_GI,travel_gi,movement,"across, follow, motion",
80,Fall_GI,fall_gi,movement,"cave, fall, tumble",
81,Think_GI,thinking_gi,cognitive_orientation,"alertness, esoteric, outwit",
82,Know_GI,knowing_gi,cognitive_orientation,"clear, likewise, ule",
83,Causal_GI,causal_association_gi,cognitive_orientation,"cause, likeliness, odds",
84,Ought_GI,moral_imperative_gi,cognitive_orientation,"get, politeness, property",
85,Perceiv_GI,perception_gi,cognitive_orientation,"apparent, face, note",
86,Compare_GI,comparison_gi,cognitive_orientation,"better, less, most",
87,Eval_2_GI,evaluation_2_gi,cognitive_orientation,"admirable, chic, impure",
88,Eval_GI,evaluation_gi,cognitive_orientation,"delicate, ordinary, special",
89,Solve_GI,problem_solving_gi,cognitive_orientation,"add, clear, estimate",
90,Abs_2_GI,abstract_vocabulary_2_gi,cognitive_orientation,"accuracy, death, series",
91,Abs_GI,abstract_vocabulary_gi,cognitive_orientation,"alientation, date, term",
92,Quality_GI,quality_gi,cognitive_orientation,"attribute, contrast, quality",
93,Quan_GI,quantity_gi,cognitive_orientation,"above, great, seven",
94,Numb_GI,number_gi,cognitive_orientation,"billion, hundred, six",
95,Ord_GI,ordinal_gi,cognitive_orientation,"fifteenth, former, prior",
96,Card_GI,cardinal_gi,cognitive_orientation,"dozen, five, thousand",
97,Freq_GI,frequency_gi,cognitive_orientation,"again, annual, seldom",
98,Dist_GI,distance_gi,cognitive_orientation,"centimeter, feet, mile",
99,Time_2_GI,time_consciousness_2_gi,cognitive_orientation,"afternoon, age, final",
100,Time_GI,time_consciousness_gi,cognitive_orientation,"april, friday, time",
101,Space_GI,space_conciousness_gi,cognitive_orientation,"anywhere, center, plant",
102,Pos_GI,position_gi,cognitive_orientation,"central, widht, horizontal",
103,Dim_GI,dimension_gi,cognitive_orientation,"big, fat, narrow",
104,Rel_GI,abstract_relationships_gi,cognitive_orientation,"adhesion, comprise, relationship",
105,Color_GI,color_gi,cognitive_orientation,"black, golden, red",
106,Self_GI,singular_self_gi,pronouns,"i, me, mine",
107,Our_GI,inclusive_self_gi,pronouns,"our, us, we",
108,You_GI,another_person_gi,pronouns,"thee, you, yours",
109,Name_GI,names_gi,pronouns,"africa, chinese, london",
110,Yes_GI,agreement_gi,grammatical,"absolute, definitely, right",
111,No_GI,disagreement_gi,grammatical,"mean, nay, ugh",
112,Negate_GI,negation_gi,grammatical,"cannot, disorder, uncommon",
