reaction	keff
LIPO3S24_BS	2.5
23CN2P1	18.0
23CN2P2	18.0
23CN2P3	18.0
23CN2P4	18.0
26DPAi	65.0
2S6HCCi	5.2
3AMBAt2	2.5
3NUCLE1	18.0
3NUCLE2	18.0
3NUCLE3	18.0
3NUCLE4	18.0
5DOAN	65.0
AAMYL_1	79.0
AB6PGH	79.0
ABTA	18.0
ABUTD	79.0
ABUTt2r	2.5
ACACT1r	18.0
ACACT2r	18.0
ACACT3r	18.0
ACACT4r	18.0
ACACT5r_1	18.0
ACACT6r_1	18.0
ACACT7r	18.0
ACCOAC	18.0
ACGApts	2.5
ACGK	18.0
ACGS	18.0
ACHBS	18.0
ACKr	79.0
ACLDC	79.0
ACLS	18.0
ACOAD1	18.0
ACOAD2	18.0
ACOAD20	18.0
ACOAD3	18.0
ACOAD4_1	18.0
ACOAD5_1	18.0
ACOAD6	18.0
ACOAD7	18.0
ACOADH2	18.0
ACODA_1	18.0
ACONT	79.0
ACOTA	18.0
ACPS1	18.0
ACPpds	18.0
ACS	79.0
ACS2	79.0
ACTD2	79.0
ACTNabc	2.5
ACTNabc1	2.5
ACt2r	2.5
ADADir	18.0
ADCL	5.2
ADCS	5.2
ADD	18.0
ADK1	18.0
ADK2	18.0
ADMDC	18.0
ADNK1	18.0
ADNt2	2.5
ADPDA	18.0
ADPRDP	79.0
ADPT	18.0
ADSK	18.0
ADSL1r	18.0
ADSL2r	18.0
ADSS	18.0
AGDC	79.0
AGMT	18.0
AGPATr_BS	18.0
AGPR	18.0
AHCYSNS	18.0
AHMMPS_1	5.2
AHSERL4	18.0
AICART	18.0
AIRC1	18.0
AKGDH	79.0
AKGt2r	2.5
AKP1	2.5
ALAALAr	2.5
ALAD_L	18.0
ALAR	18.0
ALATA_L	18.0
ALAt2r	2.5
ALCD19_L	79.0
ALCD19y	79.0
ALCD2y	79.0
ALDD1	79.0
ALDD10	79.0
ALDD11	79.0
ALDD12	79.0
ALDD13	79.0
ALDD14	79.0
ALDD15	79.0
ALDD16	79.0
ALDD17	79.0
ALDD18	79.0
ALDD20x_1	79.0
ALDD2x	79.0
ALDD3	79.0
ALDD31_1	79.0
ALDD32	79.0
ALDD4	79.0
ALDD4x	79.0
ALDD5	79.0
ALDD6	79.0
ALDD7	79.0
ALDD8	79.0
ALDD9	79.0
ALKP	2.5
ALLTN	18.0
ALTRH	79.0
AMAA	2.5
AMAOTr	5.2
AMMQT7	5.2
ANPRT	18.0
ANS	18.0
ANTIMt1	2.5
AOXSr	5.2
APATi	18.0
APNPT	5.2
APRAUR	5.2
APSR	18.0
APTA1i	18.0
ARABRr	79.0
ARAI	79.0
ARBTpts	2.5
ARBabc	2.5
ARBt2r	2.5
ARGDC	18.0
ARGN_1	18.0
ARGSL	18.0
ARGSS	18.0
ARGabc	2.5
ARGt2r	2.5
ARSENBabc	2.5
ARSENBt2	2.5
ARSNAt1	2.5
ARSt1	2.5
ASAD	18.0
ASNN	18.0
ASNS1	18.0
ASP1DC	5.2
ASPCT	18.0
ASPK	18.0
ASPO1	5.2
ASPO6	5.2
ASPT	18.0
ASPTA	18.0
ASPt2r	2.5
ATPPRT	18.0
ATPS4r	2.5
BALAt2r	2.5
BETALDHx	65.0
BGLA1	79.0
BG_CELLB	79.0
BG_MADG	79.0
BG_MBDG	79.0
BILEt4	2.5
BLACT	65.0
BTDD_RR	79.0
BTS_1	5.2
BUTKr	79.0
BUTSabc	2.5
CA2abc1	2.5
CAT	65.0
CAt4	2.5
CBL2abc	2.5
CBLtex	65.0
CBPS	18.0
CD2abc1	2.5
CD2t4	2.5
CDGPT_BS	18.0
CDPDSP_BS	18.0
CDPMEK	79.0
CELBpts	2.5
CHCOAL	5.2
CHLabc	2.5
CHOLD2	65.0
CHOLSabc_1	2.5
CHORM	18.0
CHORS	18.0
CITt10	2.5
CITt11	2.5
CITt12	2.5
CITt13	2.5
CITt14	2.5
CITt15	2.5
CITt2r	2.5
CLPNS2_BS	18.0
CMPDAi	18.0
COBALT2tpp	65.0
CPPPGO	5.2
CRNabc	2.5
CRO4t3	2.5
CS	79.0
CSNt2	2.5
CTBTabc	2.5
CTPS1	18.0
CTPS2	18.0
CU2abc1	65.0
CUt1	65.0
CYOO3	2.5
CYOR3m	2.5
CYSS_2	18.0
CYSTGL	18.0
CYSTL	18.0
