,Passive suicidal ideation,Passive suicidal ideation_include,Passive suicidal ideation_add,Active suicidal ideation & suicidal planning,Active suicidal ideation & suicidal planning_include,Active suicidal ideation & suicidal planning_add,Lethal means for suicide,Lethal means for suicide_include,Lethal means for suicide_add,Direct self-injury,Direct self-injury_include,Direct self-injury_add,Suicide exposure,Suicide exposure_include,Suicide exposure_add,Other suicidal language,Other suicidal language_include,Other suicidal language_add,Hospitalization,Hospitalization_include,Hospitalization_add,Loneliness & isolation,Loneliness & isolation_include,Loneliness & isolation_add,Social withdrawal,Social withdrawal_include,Social withdrawal_add,Relationship issues,Relationship issues_include,Relationship issues_add,Relationships & kinship,Relationships & kinship_include,Relationships & kinship_add,Bullying,Bullying_include,Bullying_add,Sexual abuse & harassment,Sexual abuse & harassment_include,Sexual abuse & harassment_add,Physical abuse & violence,Physical abuse & violence_include,Physical abuse & violence_add,Aggression & irritability,Aggression & irritability_include,Aggression & irritability_add,Alcohol use,Alcohol use_include,Alcohol use_add,Other substance use,Other substance use_include,Other substance use_add,Impulsivity,Impulsivity_include,Impulsivity_add,Defeat & feeling like a failure,Defeat & feeling like a failure_include,Defeat & feeling like a failure_add,Burdensomeness,Burdensomeness_include,Burdensomeness_add,"Shame, self-disgust, & worthlessness","Shame, self-disgust, & worthlessness_include","Shame, self-disgust, & worthlessness_add",Guilt,Guilt_include,Guilt_add,Anxiety,Anxiety_include,Anxiety_add,Panic,Panic_include,Panic_add,Entrapment & desire to escape,Entrapment & desire to escape_include,Entrapment & desire to escape_add,Trauma & PTSD,Trauma & PTSD_include,Trauma & PTSD_add,Agitation,Agitation_include,Agitation_add,Rumination,Rumination_include,Rumination_add,Depressed mood,Depressed mood_include,Depressed mood_add,Anhedonia & uninterested,Anhedonia & uninterested_include,Anhedonia & uninterested_add,Emotional pain & psychache,Emotional pain & psychache_include,Emotional pain & psychache_add,Grief & bereavement,Grief & bereavement_include,Grief & bereavement_add,Existential meaninglessness & purposelessness,Existential meaninglessness & purposelessness_include,Existential meaninglessness & purposelessness_add,Emptiness,Emptiness_include,Emptiness_add,Hopelessness,Hopelessness_include,Hopelessness_add,Perfectionism,Perfectionism_include,Perfectionism_add,Fatigue & tired,Fatigue & tired_include,Fatigue & tired_add,Sleep issues,Sleep issues_include,Sleep issues_add,Psychosis & schizophrenia,Psychosis & schizophrenia_include,Psychosis & schizophrenia_add,Bipolar Disorder,Bipolar Disorder_include,Bipolar Disorder_add,Borderline Personality Disorder,Borderline Personality Disorder_include,Borderline Personality Disorder_add,Eating disorders,Eating disorders_include,Eating disorders_add,Physical health issues & disability,Physical health issues & disability_include,Physical health issues & disability_add,Incarceration,Incarceration_include,Incarceration_add,Poverty & homelessness,Poverty & homelessness_include,Poverty & homelessness_add,Gender & sexual identity,Gender & sexual identity_include,Gender & sexual identity_add,Discrimination,Discrimination_include,Discrimination_add,Finances & work stress,Finances & work stress_include,Finances & work stress_add,Barriers to treatment,Barriers to treatment_include,Barriers to treatment_add,Mental health treatment,Mental health treatment_include,Mental health treatment_add
6,don't really want to live,,,blow my brains out,,,benzodiazepine,,,biting myself,,,exposure to suicide,,,I'll be dead,,,emergency room,,,I'm boring,,,I'm hiding,,,alienation,,,adoptive parent,,,boss around,,,coercion,,,assault,,,angry,,,Jager,,,DMT,,,erratic,,,beaten,,,be better without me,,,I'm boring,,,I shouldn't have,,,afraid,,,depersonalization,,,avoidance,,,adverse childhood experiences,,,can't sit still,,,depressive thoughts,,,anguish,,,bored,,,desolation,,,buried,,,aimless,,,depleted,,,can't see,,,absolute best,,,burnt out,,,circadian rhythm disorder,,,circumstantiality,,,depression,,,borderline,,,I'm not eating,,,able bodied,,,cops,,,deprived,,,WSW,,,ableist,,,bank,,,can't pay for treatment,,,I need help,,
7,don't want to be alive,,,burn myself alive,,,blade,,,burn my face,,,killed herself,,,I'll die,,,hospital,,,alienation,,,agoraphobia,,,attachment,,,adoptive parents,,,bossy,,,consent,,,attacking me,,,animosity,,,a drink,,,DXM,,,excessive shopping,,,broken,,,better off without me,,,I'm disgusting,,,I shouldn't have done that,,,agitation,,,derealization,,,bind,,,anxiety,,,edgy,,,feel judged,,,anhedonia,,,could care less,,,despair,,,can't believe he's gone,,,despair,,,desolate,,,crushed,,,achievement,,,burnt-out,,,cpap,,,clang associations,,,elevated mood,,,borderline personality disorder,,,I'm too fat,,,ableism,,,correction,,,destitute,,,abro,,,ablism,,,bankrupt,,,confidential,,,Lexapro,,
8,don't want to go on,,,buying a gun,,,bleach,,,burn my hand,,,killed himself,,,I'm dying,,,hospitalization,,,alone,,,alienation,,,betrayal,,,ally,,,bullied,,,date rape,,,bash my,,,annoyance,,,abstinence,,,GHB,,,flaky,,,can't do this anymore,,,bother,,,I'm inadequate,,,I shouldn't have said that,,,agoraphobia,,,detachment,,,bondage,,,assault,,,fidgety,,,feel my head could explode,,,antidepressant,,,disinterested,,,emotional pain,,,cancer,,,despondent,,,desolation,,,crushing,,,all or nothing,,,can't do this anymore,,,don't want to wake up,,,clanging,,,energy boost,,,bpd,,,anorexia,,,acid reflux,,,correctional facility,,,disadvantaged,,,agender,,,afraid of me,,,bill,,,cost of therapy,,,MAOIs,,
9,don't want to wake up,,,buying a rope,,,bridge,,,burn my skin,,,postvention,,,I'm in a crisis,,,hospitalize,,,aloof,,,antisocial,,,blackmail,,,ancestor,,,bullies,,,extortion,,,battered,,,annoying,,,alateen,,,I got high,,,hasty,,,can't take any more of this,,,burden,,,I'm not enough,,,I take responsibility,,,alarmed,,,dissociate,,,breakout,,,avoidance,,,frantic,,,fixating,,,apathy,,,dissatisfied,,,emotional suffering,,,cheated on me,,,directionless,,,devoid,,,cynical,,,be perfect in everything I do,,,collapse,,,dozing,,,clozapine,,,erratic,,,breaking up,,,anorexia nervosa,,,allergy,,,criminal,,,disenfranchised,,,akiosexual,,,ageis,,,billion,,,coverage,,,PCP,,
10,done with living,,,car off a bridge,,,burning charcoal,,,burn myself,,,public suicide,,,I'm not safe,,,hospitalized,,,am single,,,asocial,,,blocked me,,,aunt,,,bully,,,flashback,,,beat her,,,antisocial,,,alcohol,,,I was high,,,hotheaded,,,can't take it anymore,,,dead weight,,,I'm nothing,,,I wish I hadn't,,,angst,,,dissociation,,,caged,,,combat,,,hectic,,,fixation,,,bleak,,,don't care,,,emotional trauma,,,coma,,,disconnected,,,don't feel anything,,,dead end,,,being judged,,,collapsing,,,drowsy,,,delusion,,,euphoria,,,broke up,,,anorexic,,,alzheimer's,,,criminal justice system,,,economic crisis,,,ally,,,ageist,,,bills,,,deal with it on my own,,,Prozac,,
11,end it all,,,carbon monoxide,,,burning my,,,carve my skin,,,suicide,,,I'm on the ledge,,,in and out of the clinic,,,any friends,,,avoid everyone,,,bonding,,,baby,,,call me fat,,,forced into having sex,,,beat me,,,argumentative,,,alcoholic,,,I'm clean now,,,impromptu,,,crushed,,,demanding,,,I'm ugly,,,I'm to blame,,,anguish,,,dread,,,can't take it anymore,,,complex ptsd,,,hurried,,,get to the bottom of,,,bummed out,,,don't enjoy things,,,grief,,,committed suicide,,,dispassion,,,drained,,,defeat,,,best possible,,,comatose,,,fatigue,,,delusional,,,fast talking,,,cut myself,,,ate a lot of food,,,anemia,,,detained,,,financial aid,,,altersex,,,agis,,,bitcoin,,,denial,,,Ritalin,,
12,escape from reality,,,commit suicide,,,car exhaust,,,carving,,,suicide aftermath,,,I'm sinking,,,in and out of the hospital,,,are ignoring me,,,avoid people,,,boundaries,,,best friend,,,call me names,,,forced me to have sex,,,beat up,,,attacked,,,bar,,,I'm hammered,,,impulsive,,,defeated,,,dependent,,,akward,,,I'm wrong,,,anxiety,,,fear,,,captive,,,exposure therapy,,,hyperactive,,,indecisive,,,can't snap out of it,,,don't feel pleasure,,,guilt,,,condolence,,,don't care about life,,,emptiness,,,desolation,,,burnout,,,deadbeat,,,groggy,,,derailment,,,gabapentin,,,cutting,,,ate so much,,,arthritis,,,diversion program,,,financial crisis,,,androgynous,,,ancestry,,,boss,,,discrimination,,,SNRIs,,
13,eternal sleep,,,crash my car,,,car off a bridge,,,choking myself,,,suicide awareness,,,begging to die,,,in patient,,,avoid talking,,,avoidant,,,breakup,,,bf,,,call me ugly,,,forced me to touch,,,beatdown,,,bad tempered,,,bartender,,,I'm so high,,,impulsivity,,,demoralized,,,difficult for me to ask for help,,,am fucked up,,,accuse,,,anxious,,,fight or flight,,,chained,,,fear conditioning,,,impatience,,,inner dialogue,,,cried,,,don't want to do anything,,,heartache,,,coping with the loss,,,drifting,,,empty,,,desperate,,,comparison,,,depleted,,,hypersomnia,,,disorganized speech,,,grandiose,,,dialectical behavior therapy,,,binge,,,asthma,,,felony,,,food bank,,,androsexual,,,anti-semitism,,,bucks,,,doctors are condescending,,,SSRIs,,
14,fade out,,,cutting,,,carbon,,,cut myself,,,suicide bereavement,,,being saved,,,inpatient,,,avoiding me,,,don't go anywhere,,,broke up,,,boyfriend,,,calling me names,,,forced sex,,,beating up,,,belligerent,,,beer,,,I've been clean,,,intuitive,,,failure,,,drag,,,broken,,,apologize,,,apprehension,,,flight response,,,chains,,,fight or flight,,,impatient,,,intrusive thoughts,,,crummy,,,emotionally blunt,,,heartbreak,,,cremation,,,emptiness,,,ennui,,,discouraging,,,compulsive,,,don't have energy,,,insomnia,,,disowned me,,,haven't slept,,,dysregulated,,,binge eating,,,bacteria,,,forensic,,,food insecurity,,,aromantic,,,antifeminis,,,budget,,,doctors can't,,,Seroquel,,
15,fading away,,,cutting my wrists,,,carbon monoxide,,,cutting,,,suicide cluster,,,body bag,,,inpatient unit,,,been single,,,don't trust anyone,,,called me fat,,,bride,,,defenseless,,,grabbed me,,,bit me,,,bitter,,,bender,,,IOP,,,involuntary,,,falter,,,drain,,,can't look at myself,,,blame myself,,,apprehensive,,,fright,,,claustrophobia,,,fight or flight response,,,in motion,,,mental loop,,,cry,,,emotionally flat,,,hollow,,,crying,,,ennui,,,feel nothing,,,dismal,,,criticism,,,dozing off,,,jet lag,,,distorted reality,,,high energy,,,emotion regulation,,,binging,,,blind,,,frisk,,,foster care,,,asexual,,,antiracis,,,burnout,,,don't have health insurance,,,TMS,,
16,feel like dying,,,drink myself to death,,,charcoal burning,,,cutting my wrists,,,suicide contagion,,,breaking point,,,mental health facility,,,being rejected,,,don't want to see anyone,,,called names,,,bros,,,embarrassed me,,,grabbed my,,,blade,,,blocked her,,,beverage,,,K2,,,jump the gun,,,feel broken,,,feel guilty about others caring for me,,,contempt,,,confession,,,at my wits end,,,heart racing,,,claustrophobic,,,flashback,,,irritable,,,moral dilemma,,,crying,,,emotionally numb,,,hopelessness,,,died,,,existential angst,,,hollow,,,don't have faith,,,detail-oriented,,,drained,,,melatonin,,,echolalia,,,hyperactive,,,erratic,,,bloat,,,bronchitis,,,halfway house,,,foster home,,,attracted,,,antisemite,,,buy,,,don't have insurance,,,Valium,,
17,forced to exist,,,drive my car into,,,chemicals,,,dermatillomania,,,suicide crisis,,,can't do this anymore,,,mental hospital,,,broke up,,,don't want to talk to people,,,cheat,,,brother,,,everyone ignores me,,,grooming,,,blow to the,,,blocked him,,,black out,,,LSD,,,just did it,,,feel powerless,,,hindrance,,,demoralizing,,,critical of myself,,,bad news,,,helplessness,,,confinement,,,grounding techniques,,,itchy,,,negative thoughts,,,darkness,,,emotionless,,,hurt,,,divorce,,,existential crisis,,,inner void,,,don't know what to do,,,dissatisfaction,,,drowsy,,,narcolepsy,,,hallucinate,,,hypersexual,,,favorite person,,,body image,,,bruise,,,handcuff,,,got fired,,,attractive,,,antisemitism,,,capital,,,don't need therapy,,,Xanax,,
18,giving up,,,drown myself,,,cliff,,,dermotillomania,,,suicide epidemic,,,can't live like this,,,psych unit,,,by myself,,,hermit,,,codependency,,,brother in law,,,excluded,,,groped me,,,bodily harm,,,blocked me,,,booze,,,Lexapro,,,just do it,,,give up,,,imposition,,,deserve death,,,culpability,,,benzo,,,horrified,,,cornered,,,hypervigilance,,,jittery,,,obsess,,,depress,,,ennui,,,inner pain,,,eulogy,,,existential dread,,,lifeless,,,done for,,,excellence,,,exhausted,,,night terrors,,,hallucination,,,hypomania,,,fear I'll be abandoned,,,bulimia,,,bruising,,,imprison,,,government aid,,,autosexual,,,apartheid,,,career growth,,,don't trust psychiatrists,,,Zoloft,,
19,hoping I wouldn't wake up,,,drowning,,,cutting,,,electrocuting myself,,,suicide in the news,,,can't take any more of this,,,psych ward,,,care about me,,,hikikomori,,,codependent,,,buddy,,,go to different school,,,harassment,,,bop,,,blocked them,,,breathalyzer,,,Lunesta,,,knee-jerk,,,giving up,,,inconvenience,,,deserve to die,,,don't mean to,,,butterflies,,,hyperventilating,,,craving release,,,intrusive thoughts,,,jumpy,,,obsessive,,,depression,,,indifference,,,melancholic,,,euthenasia,,,feel lost,,,listless,,,doom,,,exhaustive,,,faint,,,nightmare,,,hear voices,,,hypomanic,,,fear of abandonment,,,chew and spit,,,can't breath,,,imprisoned,,,government benefit,,,bgltq,,,be partial,,,cash,,,don't want to be hospitalized,,,acceptance commitment therapy,,
20,lifeless,,,easy and painless,,,cyanide,,,hair-pulling,,,suicide note,,,crisis center,,,psychiatric facility,,,cut off from,,,introversion,,,commitment,,,caregiver,,,harassment,,,harrass,,,boxing,,,can't take it anymore,,,brewery,,,MDMA,,,lack of control,,,humiliated,,,inconvenient,,,despise myself,,,error,,,calm down,,,hypochondria,,,desperate,,,military,,,manic,,,obsessive thinking,,,desolate,,,indifferent,,,melancholy,,,friends died,,,feeling empty,,,meaninglessness,,,doomed,,,expect nothing less than,,,fatigue,,,not sleeping,,,logorrhea,,,impulsive,,,feel empty,,,diet,,,cancer,,,incarcerate,,,government program,,,bigender,,,beaner,,,chapter 11,,,don't want to be judged,,,acupuncture,,
21,never wake up,,,electrocuting myself,,,drink myself to death,,,harm myself,,,suicide ripple effect,,,crisis hotline,,,psychiatric hospital,,,desolate,,,introvert,,,companionship,,,child,,,humiliated,,,he forced me to,,,broken bones,,,combative,,,budweiser,,,NA meeting,,,offhand,,,inept,,,intrusive,,,disappointed in myself,,,ethical dilemma,,,can't breathe,,,hysteria,,,don't know what to do,,,nightmare,,,nervous,,,overanalyzing,,,despair,,,insensitive,,,mental anguish,,,funeral,,,fruitless,,,nothingness,,,expect the worse,,,failure,,,fed up,,,oversleeping,,,losing my mind,,,impulsivity,,,feelings of emptiness,,,diet pill,,,cardiovascular disease,,,incarcerated,,,hardship,,,bisexual,,,bias,,,cheap,,,don't want to be locked up,,,antidepressant,,
22,no reason to keep myself alive,,,end it all,,,drink pesticide,,,harmed myself,,,suicide survivor,,,crisis text line,,,psychiatric unit,,,don't feel like talking,,,isolation,,,conflict,,,classmate,,,insulted,,,human trafficking,,,bruise,,,competitive,,,buzz,,,Narcotics Anonymous,,,on a whim,,,inferior,,,nuisance,,,disgraced,,,fault,,,can't relax,,,impending doom,,,encaged,,,panic attack,,,on edge,,,overthinking,,,dismal,,,joyless,,,mental pain,,,funerary,,,futile,,,null,,,futile,,,fear of failure,,,foggy,,,restful,,,olanzapine,,,increased energy,,,fp,,,dieting,,,cerebral palsy,,,inmate,,,homeless,,,boy,,,bigot,,,coin,,,don't want to go to the hospital,,,antipsychotic,,
23,no reason to live,,,end my own life,,,drive my car into,,,hit my head,,,werther effect,,,don't know how much longer I can,,,psychiatric ward,,,don't have a boyfriend,,,less social,,,consent,,,co-parent,,,joke about me,,,incest,,,bruising,,,confrontational,,,buzzed,,,Prozac,,,on impulse,,,nothing works,,,overbearing,,,disgusted with myself,,,feel bad,,,catastrophic thinking,,,meltdown,,,entrap,,,post-traumatic stress disorder,,,pacing,,,overwhelming thoughts,,,down and out,,,lack of desire,,,misery,,,grief,,,hollow,,,numb,,,futureless,,,flawless,,,groggy,,,restless,,,paranoia,,,insomnia,,,gambling,,,don't eat,,,cholesterol,,,jail,,,impoverish,,,boymoder,,,bigotry,,,commute,,,fear of judgment,,,at the ER,,
24,no will to live,,,exit plan,,,drowning,,,hit myself,,,13 reason why,,,don't want to be here,,,urgent care,,,don't have a girlfriend,,,loneliness,,,custody,,,colleague,,,leak nude,,,mandatory reporting,,,brutalize,,,cranky,,,chardonnay,,,Ritalin,,,quick to,,,out of steam,,,put that on them,,,distraught,,,feel terrible,,,catastrophizing,,,mental breakdown,,,escape,,,ptsd,,,panic,,,pondering,,,dysthymia,,,lack of interest,,,my heart is broken,,,grieving,,,hopelessness,,,numbness,,,giving up,,,full potential,,,jaded,,,sedative,,,paranoid,,,irritability,,,going to leave me,,,don't want to eat,,,cochlear implant,,,jail cell,,,indigent,,,butch,,,biphobi,,,competition,,,going rate is too high,,,behavioral health,,
25,oblivion,,,giving away my possessions,,,electrocuting myself,,,hurt myself,,,Robin Williams,,,don't want to do this anymore,,,er,,,don't have a partner,,,loner,,,dated,,,companion,,,leave me out,,,molest,,,bullying,,,defensive,,,cheers,,,THC,,,rash,,,succumb,,,put that upon them,,,embarrass,,,forgive myself,,,cold sweat,,,need help,,,escape pain,,,rape,,,racing heart,,,preoccupied,,,empty,,,lack of motivation,,,no relief,,,he died,,,inconsequential,,,purposeless,,,gloom,,,hate making mistakes,,,jet-lagged,,,shift work,,,persecutory,,,klonopin,,,got in a fight,,,dysmorphia,,,concussion,,,jail sentence,,,jobless,,,byke,,,call me names,,,competitive,,,haven't be reffered yet,,,behavioral therapy,,
26,painless death,,,hang myself,,,firearm,,,knife to my throat,,,commit suicide,,,done with living,,,I be sedate,,,don't have anyone,,,minimal social interaction,,,dating,,,comrade,,,make fun of me,,,molested me,,,charge,,,disapproving,,,chug,,,TRT,,,rash decision,,,sunk,,,responsibility,,,embarrassed,,,fucked up,,,concern,,,nervous breakdown,,,exit,,,replaying the event,,,restless,,,procrastinate,,,ennui,,,lack of pleasure,,,pain,,,he is dead,,,life doesn't make sense,,,unfulfilled,,,gloomy,,,high achiever,,,kaput,,,sleep,,,persecutory delusions,,,lamictal,,,harm myself,,,eat a lot,,,congenital,,,jailed,,,low-paid,,,campy,,,caste system,,,compliance,,,long waitlist,,,benzo,,
27,peaceful death,,,hanging myself,,,gas inhalation,,,laceration,,,contagion effect,,,done with my life,,,asylum,,,don't have friends,,,misanthropy,,,distance between us,,,confidant,,,makes fun of me,,,non-consensual,,,child abuse,,,disruptive,,,cider,,,Valium,,,reckless,,,surrender,,,sorry for existing,,,embarrassment,,,guilt,,,cowardly,,,panic,,,flee,,,safety planning,,,shaking,,,rationalization,,,fatigue,,,lethargy,,,psychache,,,he was killed,,,life has no meaning,,,unoccupied,,,goner,,,high standards,,,lack of energy,,,sleep apnea,,,psych ward,,,lamotrigine,,,he's my person,,,eat too much,,,contusion,,,locked up,,,malnourish,,,cis,,,casteism,,,costly,,,medication doesn't work,,,bibliotherapy,,
28,permanent rest,,,hit by a train,,,gun,,,mutilate my,,,copycat suicide,,,done with this life,,,clinic,,,drifting apart,,,no social interaction,,,distrust,,,cousin,,,mean boy,,,not consensual,,,choke,,,dissatisfied,,,ciroc,,,Xanax,,,rushed,,,the end of my rope,,,unworthy,,,hate myself,,,indict,,,diazepam,,,panic attacks,,,have to escape,,,sexual assault,,,shaky,,,rationalize,,,feel blue,,,no desire,,,psychological pain,,,he was murdered,,,life is empty,,,vacuum,,,helpless,,,infallible,,,lethargic,,,sleep deprived,,,psychiatric hospital,,,lithium,,,impulsive,,,eating disorder,,,cough,,,miranda rights,,,malnutrition,,,cisgender,,,chauvinis,,,credit card,,,medication side effects,,,biofeedback,,
29,rest in peace,,,hit by the train,,,handgun,,,nail-biting,,,die by suicide,,,dying,,,emergency,,,ever love me,,,recluse,,,divorce,,,dad,,,mean girl,,,nudes,,,choking me,,,disturbing,,,cirrhosis,,,Zoloft,,,say things without thinking,,,undone,,,useless,,,humiliation,,,liability,,,distraught,,,panic dissociation,,,helpless,,,survivor,,,sleepless,,,recurring thoughts,,,feel down,,,no enjoyment,,,scarred,,,heartache,,,life is going nowhere,,,void,,,hopeless,,,judge,,,low energy,,,sleep disorder,,,psychosis,,,mania,,,impulsivity,,,eating less,,,covid,,,misdemeanor,,,marginalize,,,cisnormativity,,,chauvinist,,,crypto,,,meds aren't helping,,,breathing exercises,,
30,sleep forever,,,jump from the roof,,,hanging myself,,,overdosing,,,exposure to suicide,,,ending it,,,emergency department,,,everybody would forget about me,,,reclusive,,,domestic violence,,,daddy,,,mean kid,,,objectify,,,conflict,,,dysphoric,,,cocktail,,,aa meeting,,,snap decision,,,unfulfilled,,,waste of space,,,inadequacy,,,made a mistake,,,distress,,,sense of doom,,,liberate,,,survivor's guilt,,,stress,,,ruminating,,,feel like shit,,,no enthusiasm,,,torment,,,heartbreak,,,life is insignificant,,,I be nothing,,,hopelessness,,,mediocre,,,narcolep,,,sleep hygiene,,,psychotic,,,manic,,,intense anger,,,eating to much,,,deaf,,,officer,,,no cash,,,cissexism,,,chinaman,,,currency,,,meds don't work,,,coaching,,
31,stop living,,,jump in front of a train,,,helium,,,pick at my skin,,,kill herself,,,ending my life,,,emergency room,,,feel ignored,,,seclusion,,,dysfunctional,,,daughter,,,mean to me,,,penis,,,controlled me,,,edgy,,,cold turkey,,,acid,,,spend too much,,,unsuccessful,,,I annoy,,,incompetent,,,make a mistake,,,disturb,,,shaking,,,liberation,,,trauma,,,tense,,,rumination,,,feeling blue,,,no interest,,,torture,,,her passing,,,life is meaningless,,,I feel nothing,,,impossibility,,,meticulous,,,no desire to do anything,,,sleep medication,,,quetiapine,,,mood swings,,,lack of identity,,,fasting,,,dementia,,,parole,,,no money,,,deadname,,,chink,,,debt,,,misdiagnose,,,cognitive behavioral therapy,,
32,think about dying,,,jump into traffic,,,high place,,,pull my hair,,,kill himself,,,eternal sleep,,,hospital,,,find someone,,,social anxiety,,,enemy,,,daughter in law,,,mock me,,,perpetrator,,,cops,,,exasperate,,,cordial,,,adderal,,,spending too much,,,worn out,,,I annoy other,,,inept,,,mess up,,,don't feel at ease,,,stress response,,,lockdown,,,trauma-informed care,,,tensed,,,speculation,,,feeling down,,,no joy,,,ache,,,his passing,,,life is pointless,,,I feel numb,,,incapable,,,mistake,,,ready to drop,,,sleep study,,,referential thinking,,,pressured speech,,,lost my temper,,,fat,,,dermatitis,,,penitentiary,,,no savings,,,demiboy,,,cholo,,,debts,,,misdiagnosis,,,concerta,,
33,tired of life,,,jump off a bridge,,,hydrogen,,,punch myself,,,postvention,,,exit bag,,,hospitalization,,,friendless,,,social avoidance,,,engagement,,,faithful,,,mocked,,,power imbalance,,,criminal court,,,exasperation,,,detox,,,adderall,,,spontaneous,,,I feel like a failure,,,I make thing bad,,,inferior,,,messed up,,,dread,,,terrified,,,locked in,,,trigger,,,tension,,,spiraling out,,,feeling low,,,no motivation,,,agony,,,hospice,,,life is purposeless,,,abyss,,,inconsolable,,,never good enough,,,sapped,,,sleepless,,,risperidone,,,promiscuous,,,mood stabilizer,,,fatter,,,diabetes,,,police,,,panhandle,,,demigirl,,,cissexism,,,depleted,,,my insurance doesn't cover,,,counseling,,
34,tired of living,,,jump off a building,,,illicit drug,,,scarring,,,public suicide,,,farewell,,,hospitalize,,,had friends,,,social distancing,,,exploitation,,,family,,,mockery,,,predator,,,cruelty,,,explosive,,,drink a shot,,,addict,,,spur of the moment,,,I be a failure,,,I should just disappear,,,inferiority,,,misbehavior,,,escitalopram,,,terror,,,mental prison,,,verbal abuse,,,tremor,,,stewing in,,,gloom,,,no pleasure,,,anguish,,,infidelity,,,life is shit,,,bleak,,,incurable,,,obsessive,,,sleep,,,slumber,,,schizoaffective,,,quetiapine,,,mood swing,,,flat stomach,,,diagnos,,,prison,,,poverty,,,demisexual,,,classist,,,deposit,,,my insurance won't cover,,,couples therapy,,
35,want death,,,jump off my balcony,,,inert gas,,,scars,,,suicide,,,fatal,,,hospitalize,,,have no one,,,social phobia,,,faithful,,,father,,,move schools,,,rape,,,dagger,,,fierce,,,drinker,,,alprazolam,,,thoughtless,,,I be a loser,,,I take up space,,,lack of self-confidence,,,misstep,,,fear,,,tingling,,,no escape,,,victim,,,tumultuous,,,suicidal thinking,,,gloomy,,,no will,,,bereavement,,,killed herself,,,life is void,,,bottomless,,,irredeemable,,,obsessiveness,,,sleepy,,,snooze,,,schizophrenia,,,racing thoughts,,,need for validation,,,gain weight,,,diarrhea,,,probation,,,safety net,,,dyke,,,colorism,,,destitute,,,no appointments available,,,diagnose,,
36,want it all to end,,,jump off the building,,,jump into traffic,,,scratch at my,,,suicide aftermath,,,hate my life,,,in and out of the clinic,,,have nobody,,,social withdrawl,,,family dynamics,,,father in law,,,name calling,,,revenge porn,,,domestic dispute,,,fiery,,,drinking,,,amphetamine,,,uncontrolled,,,I be break,,,I be annoying,,,mortified,,,my mistake,,,fidget,,,trembling,,,no way out,,,violence,,,turmoil,,,thinking too much,,,grief,,,not excited,,,burnout,,,killed himself,,,meaningless,,,deplete,,,irreparable,,,optimal,,,sluggish,,,snoring,,,seroquel,,,rapid cycling,,,outburst,,,gained a lot of weight,,,disability,,,pulled over,,,sentenced,,,dysphoria,,,concentration camps,,,do work,,,no one referred me to a,,,diagnosis,,
37,want to be dead,,,jump off the roof,,,jump off a bridge,,,scratch my,,,suicide awareness,,,if I live or die,,,in and out of the hospital,,,hermit,,,solitary,,,fidelity,,,fiance,,,no one likes me,,,rough sex,,,domestic violence,,,fretting,,,drunk,,,barbiturate,,,unpredictable,,,be powerless,,,be well without I,,,never amounting to,,,offense,,,fight or flight,,,unreality,,,on the edge,,,violent,,,unease,,,thoughts flood,,,grim,,,not inspired,,,cry,,,losing her,,,meaningless existence,,,desolate,,,irreversible,,,overachiever,,,slumber,,,too tired,,,spying on me,,,reckless behavior,,,personality disorder,,,gained so much weight,,,disease,,,sentenced,,,shelter,,,dysphoric,,,coon,,,dollar,,,no one takes me seriously,,,dialectical behavior therapy,,
38,want to be done with this,,,jump out of the window,,,jump off a building,,,scratched my,,,suicide bereavement,,,it's my time to go,,,in patient,,,human interaction,,,solitude,,,flirt,,,fiancé,,,ostracized,,,safe space,,,fight,,,frustration,,,everclear,,,beer,,,urge,,,at rock bottom,,,well off without I,,,no honor,,,regret,,,hard to breathe,,,worry,,,paralyzing,,,war,,,uneasy,,,torturing me,,,heartache,,,not interested,,,desolation,,,losing him,,,needless,,,desolation,,,it won't work,,,overthinking,,,snooz,,,trouble sleeping,,,tangentiality,,,recklessness,,,rage,,,gained weight,,,dizziness,,,sentencing,,,soup kitchen,,,fag,,,cultural appropriation,,,downsize,,,no psych,,,diazepam,,
39,want to die,,,jump out the window,,,jumping off,,,scratching,,,suicide cluster,,,keeping me alive,,,inpatient,,,introspective,,,wallflower,,,forgive,,,foster child,,,pick on me,,,sex offense,,,forces me,,,fury,,,fireball,,,benzo,,,visceral,,,beat,,,bother,,,not confident,,,remorse,,,horrified,,,I think I be die,,,powerless,,,C - PTSD,,,unstable,,,trying to figure out,,,helpless,,,nothing feels good,,,despair,,,loss of a child,,,nihilist,,,devoid,,,it'll never change,,,people pleaser,,,tired,,,wake up during the night,,,the government is coming,,,restlessness,,,reckless driving,,,haven't been eating,,,dyslexia,,,solitary confinement,,,survival mode,,,fag hag,,,cultural insensitivity,,,economic crisis,,,no therap,,,disorder,,
